URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVERAGE SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,1.994524639,7,-0.556502428,0.023858155,25.42857143,30.50397878,163.4015915,378,115,377,3.076923077,0,6.817934783
2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,9,17,-0.307692296,0.091549295,14.31707317,35.21126761,128.084507,285,100,284,3.429577465,0,6.872791519
3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,5,13,-0.44444442,0.087804878,15.95238095,35.12195122,96.44878049,206,72,205,3.326829268,0,7.540983607
4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,16.99452464,100.9780986,-0.71189036,0.094453661,22.29166667,26.82145717,510.7285829,1250,335,1249,2.268214572,0,6.866444073
5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,8.994524639,46.98904928,-0.678672712,0.09409004,24.55384615,25.37815126,248.5512605,596,151,595,2.72605042,0,6.422750424
6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,7.983573917,53.97809856,-0.742306043,0.069934167,17.31632653,23.58916479,364.2356659,887,209,886,2.437923251,0,6.665066026
7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,11.98357392,57.98904928,-0.657478205,0.078269153,23.78205128,26.06263982,368.4250559,895,233,894,2.58836689,0,6.884883721
8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,17.98904928,55.98904928,-0.513665534,0.063664457,18.5,24.09638554,474.8385542,1163,280,1162,2.10929432,0,6.836381136
9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,23.98904928,31.99452464,-0.142996859,0.062973649,29.53225806,32.17097863,368.8683915,890,286,889,2.799775028,0,7.232876712
10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,2.983573917,27.98357392,-0.807307128,0.071517662,26.28125,30.25404157,185.7016166,434,131,433,2.914549654,0,6.914004914
11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,9.994524639,61.98357392,-0.72228983,0.083695463,20.13924051,26.04651163,354.8186047,861,224,860,2.358139535,0,7.028395062
12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,12.98904928,29.99452464,-0.395627292,0.09573179,16.08196721,23.60801782,189.4432071,450,106,449,2.783964365,0,6.792410714
13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,2.994524639,3.989049278,-0.142409103,0.02001024,18.05714286,30.65902579,152.2636103,350,107,349,2.776504298,0,6.936781609
14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,1,14.97809856,-0.874828606,0.038225116,19.87878788,23.20574163,176.8822967,419,97,418,2.653110048,0,6.913513514
15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,8.994524639,48.99452464,-0.689785396,0.05810526,31.31372549,16.93386774,406.3735471,999,169,998,1.788577154,0,6.560699588
16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,23.98904928,31.97809856,-0.142745333,0.058912787,24.01388889,30.21052632,392.4842105,951,287,950,2.672631579,0,7.004296455
17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,8.989049278,28.99452464,-0.526687533,0.054339877,21.171875,22.31759657,288.9270386,700,156,699,2.313304721,0,6.602857143
18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,15.99452464,40.99452464,-0.438680762,0.101404002,23.45238095,38.61209964,240.6448399,563,217,562,3.330960854,0,7.775583483
19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,3.994524639,16.99452464,-0.619370568,0.093284663,30.66666667,40,106.4,226,90,225,3.662222222,0,7.465437788
20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,1,3,-0.499999875,0.02739726,20.75,18.49315068,66.19726027,147,27,146,3,0,6.167832168
21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0,13.99452464,-0.999999929,0.07483703,26.2,32.62032086,88.24812834,188,61,187,3.240641711,0,6.920454545
22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0,13,-0.999999923,0.117117116,23.4,27.02702703,55.61081081,112,30,111,3.531531532,0,6.742857143
23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,3,21.99452464,-0.759947395,0.217343691,15.5,53.04347826,67.6173913,116,61,115,4.6,0,7.104347826
24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,15.98357392,41.99452464,-0.448634069,0.089334512,19.52112676,26.04006163,270.4160247,650,169,649,2.526964561,0,7.048211509
25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,11.98904928,22.99452464,-0.314589786,0.093789742,13.13043478,43.16353887,166.8654155,374,161,373,3.726541555,0,7.546783626
26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,-0.016426083,43.98357392,-1.000747175,0.077817961,20.09615385,21.4159292,234.9663717,566,121,565,2.330973451,0,6.766798419
27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,-0.016426083,42.99452464,-1.00076437,0.092825267,24.375,24.83801296,195.5352052,464,115,463,2.844492441,0,6.813063063
28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,10.99452464,60.98904928,-0.694526837,0.075612998,21.72289157,30.56722689,393.4268908,953,291,952,2.56197479,0,7.125140924
29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,5,17.99452464,-0.565113838,0.071634033,18.78787879,27.41433022,139.7657321,322,88,321,3.074766355,0,6.919354839
30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,9.983573917,24.99452464,-0.429152839,0.054824606,20.34545455,24.29467085,265.3178683,639,155,638,2.512539185,0,7.042253521
31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,8,17.98357392,-0.384226341,0.058786366,25.88888889,24.66063348,187.0642534,443,109,442,2.542986425,0,7.4
32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,11.99452464,29.99452464,-0.42868319,0.085170485,16.62962963,37.32251521,212.5290061,494,184,493,3.434077079,0,7.100204499
33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,18.99452464,11.99452464,0.225886238,0.034741087,18.42168675,24.66367713,367.0654709,893,220,892,2.270179372,0,6.868550369
34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,5.978098556,36,-0.7151801,0.06770661,15.64383562,28.38709677,259.7548387,621,176,620,2.364516129,0,6.986842105
35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,12.98904928,24.99452464,-0.31607018,0.064488241,20.21666667,31.23938879,248.4957555,590,184,589,2.714770798,0,6.778156997
36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,11.99452464,9.994524639,0.09095436,0.056672807,22.96774194,40.72164948,171.8886598,389,158,388,3.636597938,0,7.934383202
